,predicted
0,1
1,4
2,1
3,1
4,1
5,2
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,4
15,4
16,4
17,1
18,4
19,1
20,1
21,1
22,4
23,4
24,1
25,1
26,4
27,4
28,4
29,1
30,1
31,1
32,1
33,4
34,1
35,1
36,4
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,4
46,4
47,1
48,1
49,1
50,1
51,1
52,1
53,4
54,1
55,1
56,1
57,4
58,4
59,2
60,1
61,4
62,1
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,1
130,3
131,3
132,1
133,1
134,1
135,1
136,2
137,2
138,4
139,2
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,3
148,1
149,1
150,1
151,3
152,3
153,3
154,2
155,2
156,3
157,1
158,1
159,3
160,2
161,3
162,3
163,3
164,2
165,2
166,3
167,1
168,1
169,1
170,1
171,1
172,3
173,1
174,1
175,1
176,1
177,1
178,3
179,3
180,3
181,3
182,1
183,1
184,1
185,3
186,3
187,3
188,1
189,3
190,3
191,3
192,3
193,1
194,1
195,1
196,1
197,3
198,3
199,3
200,3
201,1
202,3
203,3
204,3
205,1
206,1
207,3
208,3
209,3
210,3
211,3
212,1
213,3
214,1
215,3
216,1
217,1
218,3
219,3
220,3
221,1
222,1
223,3
224,1
225,3
226,3
227,1
228,3
229,1
230,1
231,1
232,3
233,3
234,3
235,3
236,3
237,3
238,1
239,3
240,1
241,1
242,1
243,3
244,1
245,1
246,1
247,1
248,3
249,1
250,3
251,1
252,3
253,3
254,3
255,1
256,1
257,3
258,1
259,1
260,1
261,1
262,3
263,3
264,3
265,3
266,1
267,1
268,1
269,3
270,3
271,1
272,1
273,1
274,1
275,3
276,3
277,3
278,3
279,3
280,2
281,3
282,2
283,2
284,2
285,1
286,1
287,1
288,1
289,1
290,2
291,3
292,3
293,1
294,1
295,1
296,3
297,2
298,1
299,1
300,3
301,1
302,1
303,1
304,2
305,1
306,1
307,4
308,1
309,1
310,4
311,1
312,1
313,2
314,1
315,1
316,1
317,1
318,2
319,4
320,1
321,1
322,1
323,1
324,2
325,2
326,2
327,1
328,1
329,1
330,2
331,1
332,1
333,1
334,1
335,1
336,4
337,4
338,4
339,4
340,1
341,4
342,1
343,1
344,4
345,4
346,1
347,4
348,4
