,wind_deg,wind_speed,humidity,pressure,temp_max,temp_min,feels_like,dew_point,temp,weather_description
0,150,1.5,53,1025,2.8,-1.1,-1.62,-7.39,0.12,1
1,300,5.1,95,1007,9.23,6.04,4.81,7.06,7.81,2
2,290,2.6,37,1023,4.4,1.75,0.19,-9.31,2.79,1
3,230,7.2,51,1021,7.23,6.98,3.19,-2.05,7.13,1
4,230,6.2,56,1017,9.4,8.44,5.56,0.45,8.73,1
5,200,4.6,86,1012,14.48,13.45,13.72,11.72,14.02,1
6,300,7.2,62,1005,16.97,15.29,15.29,8.74,16.01,1
7,140,4.1,65,1025,6.7,5.76,3.38,0.19,6.28,1
8,280,6.2,60,1001,8.3,6.84,4.09,0.31,7.57,1
9,230,5.1,50,1008,3.56,2.43,-1.23,-5.69,2.99,1
10,300,7.7,40,1021,-1.1,-2.26,-8.25,-12.14,-1.58,1
11,210,5.7,51,1034,0.0,-1.52,-6.31,-8.69,-0.8,1
12,220,4.1,60,1024,7.2,6.23,3.76,-0.54,6.59,1
13,50,6.2,70,1026,6.7,5.01,1.92,0.83,5.87,1
14,350,2.1,88,1024,2.57,0.88,-0.58,-0.05,1.71,2
15,300,3.6,96,1011,2.72,-0.6,-2.4,0.74,1.31,2
16,320,7.7,64,1019,-3.44,-4.66,-11.03,-9.19,-4.03,1
17,330,4.6,36,1041,-7.99,-9.1,-15.19,-19.61,-8.46,1
18,130,2.6,78,1027,1.27,-0.07,-2.28,-2.37,0.71,4
19,280,8.7,55,1003,2.16,1.64,-4.08,-5.46,1.92,1
20,290,9.3,42,1015,-6.1,-7.12,-13.49,-16.16,-6.49,1
21,290,4.6,32,1024,-3.88,-4.9,-10.09,-17.11,-4.36,1
22,340,3.1,68,1010,-2.96,-3.9,-7.77,-7.96,-3.47,4
23,330,2.6,58,1011,-0.6,-1.75,-4.63,-7.67,-1.27,1
24,290,4.6,47,1013,1.7,-0.66,-4.55,-8.78,0.1,1
25,320,7.7,30,1008,-7.04,-8.88,-14.85,-20.95,-7.85,1
26,300,8.7,34,1013,-12.88,-14.06,-20.36,-24.68,-13.36,1
27,250,1.5,52,1006,-3.3,-6.23,-7.09,-12.13,-4.68,1
28,20,4.1,72,1003,0.0,-1.39,-5.04,-4.47,-0.56,1
29,280,6.2,35,1011,-4.63,-5.9,-12.11,-16.89,-5.16,1
30,210,3.6,41,1013,-1.59,-2.96,-6.86,-12.58,-2.35,1
31,250,4.6,38,1017,-2.2,-3.6,-8.17,-13.84,-2.81,1
32,200,2.6,51,1016,0.8,-0.08,-2.72,-7.65,0.34,1
33,160,3.1,88,1004,1.91,0.55,-2.01,-0.4,1.31,4
34,240,8.2,40,1014,-2.33,-3.42,-9.91,-13.37,-2.91,1
35,240,6.7,30,1015,-5.88,-7.09,-13.49,-19.72,-6.49,1
36,290,8.2,43,1016,-8.76,-9.58,-16.14,-18.37,-9.14,1
37,260,6.2,40,1017,-5.31,-6.51,-13.0,-16.23,-6.0,1
38,290,8.2,37,1013,-6.33,-7.39,-13.9,-17.89,-6.9,1
39,280,5.7,45,1011,-4.99,-5.8,-11.96,-14.28,-5.27,1
40,280,8.2,39,1011,-5.0,-5.79,-12.34,-15.89,-5.34,1
41,280,5.7,46,1016,-1.88,-2.87,-8.23,-11.28,-2.32,1
42,250,4.1,40,1020,-1.18,-2.0,-6.49,-12.29,-1.74,1
43,290,6.7,39,1022,0.0,-0.52,-6.01,-11.14,-0.18,1
44,340,3.1,22,1029,-6.04,-7.02,-11.38,-22.9,-6.47,1
45,310,8.7,100,982,1.29,-2.8,-7.39,-0.61,-0.61,2
46,280,11.8,45,1008,-9.25,-10.46,-16.82,-18.53,-9.82,1
47,280,8.2,41,1002,-3.16,-3.75,-10.5,-13.65,-3.5,1
48,240,6.2,39,1008,0.0,-2.23,-6.83,-11.9,-1.01,1
